Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
(air),(air),(air),(air),0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.96
1.25,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,Jan,0.00,0.00,0.20,0.02,0.00,0.00,0.00,0.00
1.5,0.5,2,Jan,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,Jan,0.00,0.00,0.32,0.14,0.00,0.01,0.01,0.01
1.5,0.75,2,Jan,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,Jan,0.00,0.00,0.01,0.01,0.01,0.02,0.04,0.00
1.75,0.5,4,Jan,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,Jan,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
1.75,0.75,2,Jan,0.00,0.00,0.03,0.02,0.08,0.09,0.00,0.00
1.75,0.75,4,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,Jan,0.00,0.00,0.00,0.00,0.04,0.09,0.06,0.00
2,0.5,4,Jan,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
2,0.5,6,Jan,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,Jan,0.00,0.00,0.03,0.02,0.73,0.47,0.76,0.00
2,0.75,4,Jan,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00
2,0.75,6,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,Jan,0.32,0.00,0.03,0.04,0.02,0.07,0.02,0.00
2.25,0.5,4,Jan,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00
2.25,0.5,6,Jan,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2.25,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,Jan,0.67,1.00,0.30,0.51,0.00,0.00,0.06,0.01
2.25,0.75,4,Jan,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00
2.25,0.75,6,Jan,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
2.25,0.75,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,Jan,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
2.5,0.5,4,Jan,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00
2.5,0.5,6,Jan,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
2.5,0.5,8,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,Jan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,Jan,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00
2.5,0.75,4,Jan,0.00,0.00,0.00,0.00,0.09,0.07,0.02,0.00
2.5,0.75,6,Jan,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00
2.5,0.75,8,Jan,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00